Month,Reingeniería de Procesos
2004-01,75
2004-02,93
2004-03,78
2004-04,72
2004-05,100
2004-06,60
2004-07,75
2004-08,73
2004-09,79
2004-10,85
2004-11,65
2004-12,74
2005-01,55
2005-02,71
2005-03,68
2005-04,65
2005-05,64
2005-06,50
2005-07,50
2005-08,42
2005-09,60
2005-10,46
2005-11,56
2005-12,46
2006-01,42
2006-02,53
2006-03,49
2006-04,44
2006-05,43
2006-06,38
2006-07,35
2006-08,28
2006-09,41
2006-10,40
2006-11,39
2006-12,34
2007-01,32
2007-02,32
2007-03,34
2007-04,30
2007-05,31
2007-06,27
2007-07,24
2007-08,32
2007-09,29
2007-10,31
2007-11,32
2007-12,27
2008-01,27
2008-02,26
2008-03,28
2008-04,30
2008-05,27
2008-06,24
2008-07,22
2008-08,21
2008-09,25
2008-10,27
2008-11,27
2008-12,21
2009-01,23
2009-02,25
2009-03,23
2009-04,28
2009-05,25
2009-06,24
2009-07,22
2009-08,22
2009-09,23
2009-10,27
2009-11,33
2009-12,24
2010-01,24
2010-02,25
2010-03,31
2010-04,30
2010-05,27
2010-06,24
2010-07,21
2010-08,20
2010-09,22
2010-10,26
2010-11,28
2010-12,22
2011-01,20
2011-02,24
2011-03,23
2011-04,23
2011-05,22
2011-06,20
2011-07,20
2011-08,16
2011-09,20
2011-10,20
2011-11,22
2011-12,19
2012-01,20
2012-02,20
2012-03,22
2012-04,21
2012-05,20
2012-06,20
2012-07,16
2012-08,17
2012-09,21
2012-10,23
2012-11,20
2012-12,16
2013-01,18
2013-02,17
2013-03,19
2013-04,20
2013-05,18
2013-06,15
2013-07,17
2013-08,15
2013-09,18
2013-10,17
2013-11,18
2013-12,16
2014-01,15
2014-02,17
2014-03,18
2014-04,17
2014-05,17
2014-06,15
2014-07,13
2014-08,14
2014-09,17
2014-10,15
2014-11,19
2014-12,15
2015-01,13
2015-02,16
2015-03,18
2015-04,18
2015-05,16
2015-06,13
2015-07,13
2015-08,12
2015-09,14
2015-10,15
2015-11,15
2015-12,14
2016-01,13
2016-02,13
2016-03,14
2016-04,14
2016-05,14
2016-06,12
2016-07,9
2016-08,10
2016-09,12
2016-10,13
2016-11,13
2016-12,13
2017-01,12
2017-02,14
2017-03,13
2017-04,12
2017-05,13
2017-06,10
2017-07,10
2017-08,10
2017-09,12
2017-10,13
2017-11,14
2017-12,12
2018-01,11
2018-02,13
2018-03,13
2018-04,13
2018-05,13
2018-06,10
2018-07,9
2018-08,10
2018-09,12
2018-10,11
2018-11,13
2018-12,12
2019-01,11
2019-02,11
2019-03,11
2019-04,13
2019-05,11
2019-06,10
2019-07,9
2019-08,8
2019-09,11
2019-10,11
2019-11,11
2019-12,11
2020-01,9
2020-02,10
2020-03,10
2020-04,10
2020-05,9
2020-06,10
2020-07,7
2020-08,7
2020-09,11
2020-10,10
2020-11,9
2020-12,9
2021-01,8
2021-02,9
2021-03,10
2021-04,9
2021-05,8
2021-06,9
2021-07,8
2021-08,8
2021-09,10
2021-10,9
2021-11,10
2021-12,9
2022-01,11
2022-02,14
2022-03,13
2022-04,12
2022-05,11
2022-06,11
2022-07,9
2022-08,8
2022-09,10
2022-10,10
2022-11,11
2022-12,11
2023-01,9
2023-02,10
2023-03,9
2023-04,9
2023-05,9
2023-06,8
2023-07,7
2023-08,7
2023-09,8
2023-10,9
2023-11,9
2023-12,8
2024-01,7
2024-02,10
2024-03,7
2024-04,8
2024-05,7
2024-06,8
2024-07,6
2024-08,6
2024-09,7
2024-10,8
2024-11,8
2024-12,8
2025-01,7
2025-02,8
