Year,Competencias Centrales
1950-01,0
1951-01,0
1952-01,0
1953-01,0
1954-01,0
1955-01,0
1956-01,0
1957-01,0
1958-01,2
1959-01,0
1960-01,0
1961-01,0
1962-01,0
1963-01,0
1964-01,0
1965-01,0
1966-01,0
1967-01,0
1968-01,0
1969-01,0
1970-01,0
1971-01,0
1972-01,0
1973-01,0
1974-01,1
1975-01,0
1976-01,1
1977-01,4
1978-01,3
1979-01,4
1980-01,5
1981-01,2
1982-01,1
1983-01,2
1984-01,5
1985-01,7
1986-01,4
1987-01,2
1988-01,5
1989-01,2
1990-01,6
1991-01,6
1992-01,11
1993-01,15
1994-01,20
1995-01,30
1996-01,32
1997-01,35
1998-01,39
1999-01,36
2000-01,39
2001-01,40
2002-01,38
2003-01,44
2004-01,44
2005-01,45
2006-01,43
2007-01,50
2008-01,54
2009-01,61
2010-01,57
2011-01,65
2012-01,49
2013-01,59
2014-01,53
2015-01,66
2016-01,62
2017-01,79
2018-01,69
2019-01,59
2020-01,53
2021-01,100
2022-01,64
