Year,Fusiones y Adquisiciones
1950-01,0.37717880280189964
1951-01,0.15976842975827973
1952-01,0.0
1953-01,0.4172775459569189
1954-01,0.24247208751550695
1955-01,1.9147149856521681
1956-01,1.2380486949112188
1957-01,1.6828941267872135
1958-01,1.664097840933298
1959-01,1.5137275541019761
1960-01,1.4448078393042867
1961-01,1.6515669836973546
1962-01,1.9209804142701399
1963-01,2.108943272809293
1964-01,2.190393844842925
1965-01,2.3407641316742476
1966-01,1.8395298422365074
1967-01,4.019899001290678
1968-01,3.2116587095723217
1969-01,4.978509579840358
1970-01,4.834404721627007
1971-01,4.1765347167399725
1972-01,3.844466999987469
1973-01,4.853201007480922
1974-01,5.63011415610942
1975-01,4.301843289099408
1976-01,4.088818716088368
1977-01,4.082553287470397
1978-01,5.861935014974375
1979-01,4.8406701502449785
1980-01,6.2691878751425385
1981-01,4.452213575930729
1982-01,25.62936230467526
1983-01,6.018570730423669
1984-01,8.900667894690677
1985-01,8.963322180870394
1986-01,23.687079433104017
1987-01,13.41177649963034
1988-01,20.429056551758705
1989-01,23.561770860744584
1990-01,14.414245078505822
1991-01,29.07534804455973
1992-01,74.31174266631581
1993-01,65.54014260115535
1994-01,61.53026828565342
1995-01,23.6244251469243
1996-01,74.31174266631581
1997-01,46.36793103016177
1998-01,46.99447389195895
1999-01,93.73457138202825
2000-01,35.21546809017204
2001-01,98.74691427640565
2002-01,100.0
2003-01,85.58951417866497
2004-01,48.184905329373585
2005-01,32.58398807062391
2006-01,26.88244802826961
2007-01,42.98459957645702
2008-01,23.31115371602571
2009-01,22.5593022818691
2010-01,12.534616493114296
2011-01,13.787702216708645
2012-01,7.960853601994912
2013-01,6.9583850231194315
2014-01,7.271656454018019
2015-01,11.344185055699661
2016-01,11.156222197160508
2017-01,7.772890743455761
2018-01,12.409307920754859
2019-01,11.030913624801073
2020-01,13.098505068731752
2021-01,8.336779319073218
2022-01,5.222861295941255
