Year,Lealtad del Cliente
1950-01,0
1951-01,2
1952-01,0
1953-01,0
1954-01,0
1955-01,0
1956-01,0
1957-01,0
1958-01,0
1959-01,0
1960-01,0
1961-01,4
1962-01,0
1963-01,0
1964-01,0
1965-01,0
1966-01,0
1967-01,0
1968-01,0
1969-01,0
1970-01,0
1971-01,0
1972-01,0
1973-01,2
1974-01,0
1975-01,0
1976-01,0
1977-01,0
1978-01,0
1979-01,0
1980-01,7
1981-01,3
1982-01,0
1983-01,1
1984-01,0
1985-01,6
1986-01,3
1987-01,1
1988-01,0
1989-01,0
1990-01,11
1991-01,11
1992-01,69
1993-01,32
1994-01,13
1995-01,26
1996-01,59
1997-01,100
1998-01,65
1999-01,56
2000-01,51
2001-01,39
2002-01,95
2003-01,39
2004-01,41
2005-01,49
2006-01,33
2007-01,37
2008-01,81
2009-01,57
2010-01,30
2011-01,29
2012-01,66
2013-01,24
2014-01,17
2015-01,57
2016-01,54
2017-01,44
2018-01,35
2019-01,99
2020-01,25
2021-01,62
2022-01,20
