Month,Optimización de Precios
2004-01,30.0
2004-02,0.0
2004-03,44.0
2004-04,25.0
2004-05,28.000000000000004
2004-06,0.0
2004-07,30.0
2004-08,25.0
2004-09,27.0
2004-10,37.0
2004-11,34.0
2004-12,24.0
2005-01,22.0
2005-02,35.0
2005-03,20.0
2005-04,24.0
2005-05,20.0
2005-06,22.0
2005-07,28.999999999999996
2005-08,23.0
2005-09,18.0
2005-10,18.0
2005-11,28.999999999999996
2005-12,16.0
2006-01,17.0
2006-02,18.0
2006-03,16.0
2006-04,18.0
2006-05,25.0
2006-06,22.0
2006-07,21.0
2006-08,14.000000000000002
2006-09,19.0
2006-10,23.0
2006-11,42.0
2006-12,35.0
2007-01,33.0
2007-02,38.0
2007-03,36.0
2007-04,34.0
2007-05,21.0
2007-06,18.0
2007-07,13.0
2007-08,19.0
2007-09,18.0
2007-10,19.0
2007-11,21.0
2007-12,18.0
2008-01,15.0
2008-02,18.0
2008-03,17.0
2008-04,17.0
2008-05,15.0
2008-06,13.0
2008-07,12.0
2008-08,13.0
2008-09,13.0
2008-10,14.000000000000002
2008-11,15.0
2008-12,12.0
2009-01,8.0
2009-02,12.0
2009-03,14.000000000000002
2009-04,15.0
2009-05,13.0
2009-06,13.0
2009-07,12.0
2009-08,17.0
2009-09,16.0
2009-10,13.0
2009-11,17.0
2009-12,15.0
2010-01,12.0
2010-02,15.0
2010-03,12.0
2010-04,15.0
2010-05,12.0
2010-06,11.0
2010-07,11.0
2010-08,11.0
2010-09,13.0
2010-10,12.0
2010-11,14.000000000000002
2010-12,14.000000000000002
2011-01,12.0
2011-02,13.0
2011-03,15.0
2011-04,17.0
2011-05,16.0
2011-06,10.0
2011-07,10.0
2011-08,13.0
2011-09,12.0
2011-10,15.0
2011-11,16.0
2011-12,11.0
2012-01,13.0
2012-02,14.000000000000002
2012-03,15.0
2012-04,14.000000000000002
2012-05,15.0
2012-06,12.0
2012-07,12.0
2012-08,12.0
2012-09,13.0
2012-10,13.0
2012-11,16.0
2012-12,14.000000000000002
2013-01,14.000000000000002
2013-02,16.0
2013-03,16.0
2013-04,16.0
2013-05,15.0
2013-06,13.0
2013-07,14.000000000000002
2013-08,13.0
2013-09,13.0
2013-10,15.0
2013-11,16.0
2013-12,15.0
2014-01,16.0
2014-02,16.0
2014-03,19.0
2014-04,23.0
2014-05,19.0
2014-06,15.0
2014-07,14.000000000000002
2014-08,15.0
2014-09,17.0
2014-10,22.0
2014-11,19.0
2014-12,19.0
2015-01,17.0
2015-02,19.0
2015-03,21.0
2015-04,24.0
2015-05,23.0
2015-06,17.0
2015-07,15.0
2015-08,16.0
2015-09,17.0
2015-10,20.0
2015-11,24.0
2015-12,22.0
2016-01,19.0
2016-02,22.0
2016-03,23.0
2016-04,24.0
2016-05,22.0
2016-06,19.0
2016-07,17.0
2016-08,18.0
2016-09,21.0
2016-10,24.0
2016-11,30.0
2016-12,22.0
2017-01,25.0
2017-02,28.000000000000004
2017-03,28.000000000000004
2017-04,28.999999999999996
2017-05,30.0
2017-06,28.000000000000004
2017-07,23.0
2017-08,23.0
2017-09,24.0
2017-10,28.999999999999996
2017-11,30.0
2017-12,26.0
2018-01,22.0
2018-02,28.000000000000004
2018-03,28.999999999999996
2018-04,28.999999999999996
2018-05,25.0
2018-06,23.0
2018-07,22.0
2018-08,23.0
2018-09,24.0
2018-10,28.000000000000004
2018-11,28.000000000000004
2018-12,24.0
2019-01,23.0
2019-02,28.000000000000004
2019-03,28.000000000000004
2019-04,28.000000000000004
2019-05,26.0
2019-06,25.0
2019-07,22.0
2019-08,23.0
2019-09,25.0
2019-10,28.999999999999996
2019-11,31.0
2019-12,25.0
2020-01,26.0
2020-02,33.0
2020-03,26.0
2020-04,28.000000000000004
2020-05,27.0
2020-06,25.0
2020-07,23.0
2020-08,21.0
2020-09,23.0
2020-10,24.0
2020-11,24.0
2020-12,20.0
2021-01,21.0
2021-02,22.0
2021-03,21.0
2021-04,22.0
2021-05,22.0
2021-06,18.0
2021-07,18.0
2021-08,17.0
2021-09,22.0
2021-10,22.0
2021-11,26.0
2021-12,24.0
2022-01,26.0
2022-02,31.0
2022-03,37.0
2022-04,36.0
2022-05,35.0
2022-06,32.0
2022-07,34.0
2022-08,28.999999999999996
2022-09,31.0
2022-10,39.0
2022-11,72.0
2022-12,34.0
2023-01,34.0
2023-02,44.0
2023-03,41.0
2023-04,36.0
2023-05,60.0
2023-06,35.0
2023-07,36.0
2023-08,36.0
2023-09,44.0
2023-10,40.0
2023-11,43.0
2023-12,37.0
2024-01,39.0
2024-02,80.0
2024-03,82.0
2024-04,59.0
2024-05,49.0
2024-06,43.0
2024-07,45.0
2024-08,56.99999999999999
2024-09,100.0
2024-10,77.0
2024-11,73.0
2024-12,52.0
2025-01,51.0
2025-02,80.0
