Month,Planificación de Escenarios
2004-01,100
2004-02,84
2004-03,80
2004-04,82
2004-05,97
2004-06,87
2004-07,66
2004-08,72
2004-09,68
2004-10,79
2004-11,67
2004-12,73
2005-01,60
2005-02,72
2005-03,89
2005-04,79
2005-05,80
2005-06,68
2005-07,55
2005-08,63
2005-09,58
2005-10,71
2005-11,70
2005-12,52
2006-01,59
2006-02,58
2006-03,63
2006-04,68
2006-05,65
2006-06,57
2006-07,51
2006-08,45
2006-09,43
2006-10,56
2006-11,52
2006-12,41
2007-01,45
2007-02,51
2007-03,54
2007-04,51
2007-05,51
2007-06,44
2007-07,40
2007-08,43
2007-09,44
2007-10,52
2007-11,49
2007-12,33
2008-01,36
2008-02,45
2008-03,44
2008-04,47
2008-05,45
2008-06,42
2008-07,34
2008-08,34
2008-09,35
2008-10,43
2008-11,41
2008-12,37
2009-01,36
2009-02,42
2009-03,46
2009-04,45
2009-05,43
2009-06,36
2009-07,40
2009-08,34
2009-09,40
2009-10,46
2009-11,46
2009-12,34
2010-01,39
2010-02,38
2010-03,43
2010-04,46
2010-05,44
2010-06,39
2010-07,35
2010-08,32
2010-09,34
2010-10,33
2010-11,40
2010-12,31
2011-01,31
2011-02,36
2011-03,41
2011-04,39
2011-05,41
2011-06,33
2011-07,30
2011-08,35
2011-09,32
2011-10,36
2011-11,36
2011-12,28
2012-01,27
2012-02,33
2012-03,32
2012-04,35
2012-05,33
2012-06,31
2012-07,25
2012-08,28
2012-09,30
2012-10,34
2012-11,30
2012-12,25
2013-01,25
2013-02,30
2013-03,28
2013-04,34
2013-05,29
2013-06,26
2013-07,23
2013-08,24
2013-09,27
2013-10,31
2013-11,31
2013-12,23
2014-01,26
2014-02,28
2014-03,31
2014-04,32
2014-05,29
2014-06,29
2014-07,22
2014-08,25
2014-09,26
2014-10,31
2014-11,31
2014-12,24
2015-01,23
2015-02,26
2015-03,28
2015-04,31
2015-05,31
2015-06,25
2015-07,20
2015-08,21
2015-09,27
2015-10,26
2015-11,29
2015-12,21
2016-01,22
2016-02,25
2016-03,29
2016-04,27
2016-05,27
2016-06,23
2016-07,19
2016-08,22
2016-09,25
2016-10,27
2016-11,30
2016-12,22
2017-01,22
2017-02,27
2017-03,30
2017-04,30
2017-05,27
2017-06,21
2017-07,19
2017-08,22
2017-09,24
2017-10,28
2017-11,29
2017-12,22
2018-01,24
2018-02,26
2018-03,27
2018-04,28
2018-05,26
2018-06,21
2018-07,20
2018-08,19
2018-09,25
2018-10,28
2018-11,28
2018-12,20
2019-01,22
2019-02,28
2019-03,26
2019-04,25
2019-05,25
2019-06,24
2019-07,22
2019-08,19
2019-09,25
2019-10,26
2019-11,27
2019-12,23
2020-01,21
2020-02,25
2020-03,38
2020-04,39
2020-05,33
2020-06,29
2020-07,27
2020-08,25
2020-09,30
2020-10,30
2020-11,30
2020-12,22
2021-01,20
2021-02,23
2021-03,25
2021-04,26
2021-05,25
2021-06,23
2021-07,21
2021-08,18
2021-09,23
2021-10,27
2021-11,28
2021-12,22
2022-01,27
2022-02,36
2022-03,37
2022-04,37
2022-05,30
2022-06,30
2022-07,23
2022-08,24
2022-09,30
2022-10,34
2022-11,36
2022-12,27
2023-01,27
2023-02,35
2023-03,33
2023-04,31
2023-05,31
2023-06,27
2023-07,24
2023-08,26
2023-09,29
2023-10,38
2023-11,34
2023-12,28
2024-01,28
2024-02,34
2024-03,35
2024-04,36
2024-05,32
2024-06,30
2024-07,26
2024-08,29
2024-09,31
2024-10,35
2024-11,35
2024-12,27
2025-01,27
2025-02,34
