Date,Outsourcing
1950-01,0
1951-01,0
1952-01,0
1953-01,0
1954-01,0
1955-01,0
1956-01,0
1957-01,0
1958-01,0
1959-01,0
1960-01,0
1961-01,0
1962-01,0
1963-01,0
1964-01,0
1965-01,0
1966-01,0
1967-01,0
1968-01,0
1969-01,0
1970-01,6
1971-01,0
1972-01,0
1973-01,0
1974-01,0
1975-01,0
1976-01,0
1977-01,0
1978-01,0
1979-01,0
1980-01,2
1981-01,0
1982-01,0
1983-01,0
1984-01,0
1985-01,0
1986-01,0
1987-01,0
1988-01,0
1989-01,0
1990-01,2
1991-01,8
1992-01,12
1993-01,29
1994-01,47
1995-01,60
1996-01,66
1997-01,144
1998-01,123
1999-01,139
2000-01,177
2001-01,119
2002-01,167
2003-01,225
2004-01,271
2005-01,369
2006-01,393
2007-01,474
2008-01,595
2009-01,656
2010-01,702
2011-01,661
2012-01,703
2013-01,615
2014-01,642
2015-01,612
2016-01,632
2017-01,698
2018-01,685
2019-01,668
2020-01,722
2021-01,692
2022-01,672
2023-01,736
2024-01,661
